sample_id,forward,reverse,group,NTC,concentration,paired
sample1,/Fastq/3301_01_D1S1_S46_L002_R1_001.fastq.gz,/Fastq/3301_01_D1S1_S46_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample2,/Fastq/3301_02_D1S2_S47_L002_R1_001.fastq.gz,/Fastq/3301_02_D1S2_S47_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample3,/Fastq/3301_03_D1S3_S48_L002_R1_001.fastq.gz,/Fastq/3301_03_D1S3_S48_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample4,/Fastq/3301_04_D1S4_S49_L002_R1_001.fastq.gz,/Fastq/3301_04_D1S4_S49_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample5,/Fastq/3301_05_D1S5_S50_L002_R1_001.fastq.gz,/Fastq/3301_05_D1S5_S50_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample6,/Fastq/3301_06_D1S6_S51_L002_R1_001.fastq.gz,/Fastq/3301_06_D1S6_S51_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample7,/Fastq/3301_07_D1S7_S52_L002_R1_001.fastq.gz,/Fastq/3301_07_D1S7_S52_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample8,/Fastq/3301_08_D1S8_S53_L002_R1_001.fastq.gz,/Fastq/3301_08_D1S8_S53_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample9,/Fastq/3301_09_D1S9_S54_L002_R1_001.fastq.gz,/Fastq/3301_09_D1S9_S54_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample10,/Fastq/3301_10_D1S10_S55_L002_R1_001.fastq.gz,/Fastq/3301_10_D1S10_S55_L002_R2_001.fastq.gz,Cleanroom_Floor_HT,FALSE,0.1,TRUE
sample11,/Fastq/3301_11_D1S11_S56_L002_R1_001.fastq.gz,/Fastq/3301_11_D1S11_S56_L002_R2_001.fastq.gz,Cleanroom_Floor_LT,FALSE,0.1,TRUE
sample12,/Fastq/3301_12_D2S1_S57_L002_R1_001.fastq.gz,/Fastq/3301_12_D2S1_S57_L002_R2_001.fastq.gz,Cleanroom_Floor_LT,FALSE,0.1,TRUE
sample13,/Fastq/3301_13_D2S2_S58_L002_R1_001.fastq.gz,/Fastq/3301_13_D2S2_S58_L002_R2_001.fastq.gz,Cleanroom_Floor_LT,FALSE,0.1,TRUE
sample14,/Fastq/3301_14_D2S3_S59_L002_R1_001.fastq.gz,/Fastq/3301_14_D2S3_S59_L002_R2_001.fastq.gz,Cleanroom_Floor_LT,FALSE,0.1,TRUE
sample15,/Fastq/3301_15_D2S4_S60_L002_R1_001.fastq.gz,/Fastq/3301_15_D2S4_S60_L002_R2_001.fastq.gz,Cleanroom_Floor_LT,FALSE,0.1,TRUE
sample16,/Fastq/3301_16_D2S5_S61_L002_R1_001.fastq.gz,/Fastq/3301_16_D2S5_S61_L002_R2_001.fastq.gz,Cleanroom_Floor_LT,FALSE,0.1,TRUE
sample17,/Fastq/3301_17_D2S6_S62_L002_R1_001.fastq.gz,/Fastq/3301_17_D2S6_S62_L002_R2_001.fastq.gz,Cleanroom_Floor_LT,FALSE,0.1,TRUE
sample18,/Fastq/3301_18_D2S7_S63_L002_R1_001.fastq.gz,/Fastq/3301_18_D2S7_S63_L002_R2_001.fastq.gz,Cleanroom_Table,FALSE,0.1,TRUE
sample19,/Fastq/3301_19_D2S8_S64_L002_R1_001.fastq.gz,/Fastq/3301_19_D2S8_S64_L002_R2_001.fastq.gz,Cleanroom_Table,FALSE,0.1,TRUE
sample20,/Fastq/3301_20_D2S9_S65_L002_R1_001.fastq.gz,/Fastq/3301_20_D2S9_S65_L002_R2_001.fastq.gz,Cleanroom_Table,FALSE,0.1,TRUE
sample21,/Fastq/3301_21_D2S10_S66_L002_R1_001.fastq.gz,/Fastq/3301_21_D2S10_S66_L002_R2_001.fastq.gz,Cleanroom_Table,FALSE,0.1,TRUE
sample22,/Fastq/3301_22_D2S11_S67_L002_R1_001.fastq.gz,/Fastq/3301_22_D2S11_S67_L002_R2_001.fastq.gz,Cleanroom_Floor_MT,FALSE,0.1,TRUE
sample23,/Fastq/3301_23_D2S12_S68_L002_R1_001.fastq.gz,/Fastq/3301_23_D2S12_S68_L002_R2_001.fastq.gz,Cleanroom_Floor_MT,FALSE,0.1,TRUE
