sample_id,barcode_id,forward,group,NTC,concentration,paired
sample1,barcode01,/fastq_pass/barcode01/PBC12794_pass_barcode01_6db24c65_8b2d01fc_51.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample1,barcode01,/fastq_pass/barcode01/PBC12794_pass_barcode01_6db24c65_8b2d01fc_41.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample1,barcode01,/fastq_pass/barcode01/PBC12794_pass_barcode01_6db24c65_8b2d01fc_16.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample1,barcode01,/fastq_pass/barcode01/PBC12794_pass_barcode01_6db24c65_8b2d01fc_19.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample1,barcode01,/fastq_pass/barcode01/PBC12794_pass_barcode01_6db24c65_8b2d01fc_26.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample2,barcode02,/fastq_pass/barcode02/PBC12794_pass_barcode02_6db24c65_8b2d01fc_51.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample2,barcode02,/fastq_pass/barcode02/PBC12794_pass_barcode02_6db24c65_8b2d01fc_41.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample2,barcode02,/fastq_pass/barcode02/PBC12794_pass_barcode02_6db24c65_8b2d01fc_19.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample2,barcode02,/fastq_pass/barcode02/PBC12794_pass_barcode02_6db24c65_8b2d01fc_16.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample2,barcode02,/fastq_pass/barcode02/PBC12794_pass_barcode02_6db24c65_8b2d01fc_29.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample2,barcode02,/fastq_pass/barcode02/PBC12794_pass_barcode02_6db24c65_8b2d01fc_26.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample2,barcode02,/fastq_pass/barcode02/PBC12794_pass_barcode02_6db24c65_8b2d01fc_2.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample3,barcode03,/fastq_pass/barcode03/PBC12794_pass_barcode03_6db24c65_8b2d01fc_54.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample3,barcode03,/fastq_pass/barcode03/PBC12794_pass_barcode03_6db24c65_8b2d01fc_9.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample3,barcode03,/fastq_pass/barcode03/PBC12794_pass_barcode03_6db24c65_8b2d01fc_6.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample3,barcode03,/fastq_pass/barcode03/PBC12794_pass_barcode03_6db24c65_8b2d01fc_44.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample3,barcode03,/fastq_pass/barcode03/PBC12794_pass_barcode03_6db24c65_8b2d01fc_13.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample3,barcode03,/fastq_pass/barcode03/PBC12794_pass_barcode03_6db24c65_8b2d01fc_23.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_25.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_35.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_52.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_15.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_42.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_2.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_32.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample4,barcode04,/fastq_pass/barcode04/PBC12794_pass_barcode04_6db24c65_8b2d01fc_22.fastq.gz,MMC_Even_5pg,FALSE,0.005,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_35.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_25.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_4.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_55.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_12.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_45.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_22.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample5,barcode05,/fastq_pass/barcode05/PBC12794_pass_barcode05_6db24c65_8b2d01fc_32.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample6,barcode06,/fastq_pass/barcode06/PBC12794_pass_barcode06_6db24c65_8b2d01fc_32.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample6,barcode06,/fastq_pass/barcode06/PBC12794_pass_barcode06_6db24c65_8b2d01fc_0.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample6,barcode06,/fastq_pass/barcode06/PBC12794_pass_barcode06_6db24c65_8b2d01fc_22.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample6,barcode06,/fastq_pass/barcode06/PBC12794_pass_barcode06_6db24c65_8b2d01fc_45.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample6,barcode06,/fastq_pass/barcode06/PBC12794_pass_barcode06_6db24c65_8b2d01fc_12.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample6,barcode06,/fastq_pass/barcode06/PBC12794_pass_barcode06_6db24c65_8b2d01fc_55.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample7,barcode07,/fastq_pass/barcode07/PBC12794_pass_barcode07_6db24c65_8b2d01fc_52.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample7,barcode07,/fastq_pass/barcode07/PBC12794_pass_barcode07_6db24c65_8b2d01fc_15.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample7,barcode07,/fastq_pass/barcode07/PBC12794_pass_barcode07_6db24c65_8b2d01fc_42.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample7,barcode07,/fastq_pass/barcode07/PBC12794_pass_barcode07_6db24c65_8b2d01fc_25.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample7,barcode07,/fastq_pass/barcode07/PBC12794_pass_barcode07_6db24c65_8b2d01fc_35.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample7,barcode07,/fastq_pass/barcode07/PBC12794_pass_barcode07_6db24c65_8b2d01fc_2.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample8,barcode08,/fastq_pass/barcode08/PBC12794_pass_barcode08_6db24c65_8b2d01fc_50.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample8,barcode08,/fastq_pass/barcode08/PBC12794_pass_barcode08_6db24c65_8b2d01fc_40.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample8,barcode08,/fastq_pass/barcode08/PBC12794_pass_barcode08_6db24c65_8b2d01fc_18.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample8,barcode08,/fastq_pass/barcode08/PBC12794_pass_barcode08_6db24c65_8b2d01fc_17.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample8,barcode08,/fastq_pass/barcode08/PBC12794_pass_barcode08_6db24c65_8b2d01fc_28.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
sample8,barcode08,/fastq_pass/barcode08/PBC12794_pass_barcode08_6db24c65_8b2d01fc_7.fastq.gz,MMC_Even_10pg,FALSE,0.01,FALSE
ntc1,barcode09,/fastq_pass/barcode09/PBC12794_pass_barcode09_6db24c65_8b2d01fc_48.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc1,barcode09,/fastq_pass/barcode09/PBC12794_pass_barcode09_6db24c65_8b2d01fc_47.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc1,barcode09,/fastq_pass/barcode09/PBC12794_pass_barcode09_6db24c65_8b2d01fc_10.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc1,barcode09,/fastq_pass/barcode09/PBC12794_pass_barcode09_6db24c65_8b2d01fc_20.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc1,barcode09,/fastq_pass/barcode09/PBC12794_pass_barcode09_6db24c65_8b2d01fc_0.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc1,barcode09,/fastq_pass/barcode09/PBC12794_pass_barcode09_6db24c65_8b2d01fc_30.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc2,barcode10,/fastq_pass/barcode10/PBC12794_pass_barcode10_6db24c65_8b2d01fc_32.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc2,barcode10,/fastq_pass/barcode10/PBC12794_pass_barcode10_6db24c65_8b2d01fc_22.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc2,barcode10,/fastq_pass/barcode10/PBC12794_pass_barcode10_6db24c65_8b2d01fc_2.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc2,barcode10,/fastq_pass/barcode10/PBC12794_pass_barcode10_6db24c65_8b2d01fc_12.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc2,barcode10,/fastq_pass/barcode10/PBC12794_pass_barcode10_6db24c65_8b2d01fc_45.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc2,barcode10,/fastq_pass/barcode10/PBC12794_pass_barcode10_6db24c65_8b2d01fc_55.fastq.gz,NTC_noSpike,TRUE,0,FALSE
ntc3,barcode11,/fastq_pass/barcode11/PBC12794_pass_barcode11_6db24c65_8b2d01fc_55.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc3,barcode11,/fastq_pass/barcode11/PBC12794_pass_barcode11_6db24c65_8b2d01fc_45.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc3,barcode11,/fastq_pass/barcode11/PBC12794_pass_barcode11_6db24c65_8b2d01fc_12.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc3,barcode11,/fastq_pass/barcode11/PBC12794_pass_barcode11_6db24c65_8b2d01fc_22.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc3,barcode11,/fastq_pass/barcode11/PBC12794_pass_barcode11_6db24c65_8b2d01fc_0.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc3,barcode11,/fastq_pass/barcode11/PBC12794_pass_barcode11_6db24c65_8b2d01fc_32.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc4,barcode12,/fastq_pass/barcode12/PBC12794_pass_barcode12_6db24c65_8b2d01fc_22.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc4,barcode12,/fastq_pass/barcode12/PBC12794_pass_barcode12_6db24c65_8b2d01fc_5.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc4,barcode12,/fastq_pass/barcode12/PBC12794_pass_barcode12_6db24c65_8b2d01fc_32.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc4,barcode12,/fastq_pass/barcode12/PBC12794_pass_barcode12_6db24c65_8b2d01fc_55.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc4,barcode12,/fastq_pass/barcode12/PBC12794_pass_barcode12_6db24c65_8b2d01fc_45.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc4,barcode12,/fastq_pass/barcode12/PBC12794_pass_barcode12_6db24c65_8b2d01fc_12.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE
ntc4,barcode12,/fastq_pass/barcode12/PBC12794_pass_barcode12_6db24c65_8b2d01fc_35.fastq.gz,NTC_wSpike,TRUE,0.1,FALSE                                                 (
